P(a) lb f/pulg2,Temp ºF,Vf (pie3/lbm),Vfg (pie3/lbm),Vg (pie3/lbm),Hf (BTU/lbm),Hfg (BTU/lbm),Hg (BTU/lbm),Sf (BTU/lbmºF),Sfg (BTU/lbmºF),Sg (BTU/lbmºF)
5.55,-60,0.02280,44.70720,44.730,-21.200,610.800,589.600,-0.0517,1.5286,1.4769
6.54,-55,0.02290,38.35710,38.380,-15.900,607.500,591.600,-0.0386,1.5017,1.4631
7.67,-50,0.02300,33.05700,33.080,-10.600,604.300,593.700,-0.0256,1.4753,1.4497
8.95,-45,0.02310,28.59690,28.620,-5.300,600.900,595.600,-0.0127,1.4495,1.4368
10.41,-40,0.02322,24.83678,24.860,0.000,597.600,597.600,0.0000,1.4242,1.4242
12.05,-35,0.02333,21.65667,21.680,5.300,594.200,599.500,0.0126,1.3994,1.4120
13.90,-30,0.02235,18.94765,18.970,10.700,590.700,601.400,0.0250,1.3751,1.4001
15.98,-25,0.02360,16.63640,16.660,16.000,587.200,603.200,0.0364,1.3522,1.3886
18.30,-20,0.02370,14.65630,14.680,21.400,583.600,605.000,0.0497,1.3277,1.3774
20.88,-15,0.02381,12.94619,12.970,26.700,580.000,606.700,0.0618,1.3046,1.3664
23.74,-10,0.02393,11.47607,11.500,32.100,576.400,608.500,0.0738,1.2820,1.3558
26.92,-5,0.02406,10.20594,10.230,37.500,572.600,610.100,0.0857,1.2597,1.3454
30.42,0,0.02419,9.09181,9.116,42.900,568.900,611.800,0.0975,1.2377,1.3352
34.27,5,0.02432,8.12568,8.150,48.300,565.000,613.300,0.1092,1.2161,1.3253
38.51,10,0.02446,7.27954,7.304,53.800,561.100,614.900,0.1208,1.1949,1.3157
43.14,15,0.02460,6.53740,6.562,59.200,557.100,616.300,0.1323,1.1739,1.3062
48.21,20,0.02474,5.88526,5.910,64.700,553.100,617.800,0.1437,1.1532,1.2969
53.73,25,0.02488,5.30912,5.334,70.200,548.900,619.100,0.1551,1.1328,1.2879
59.74,30,0.02503,4.79997,4.825,75.700,544.800,620.500,0.1663,1.1127,1.2790
66.26,35,0.02518,4.34782,4.373,81.200,540.500,621.700,0.1775,1.0929,1.2704
73.32,40,0.02533,3.94567,3.971,86.000,537.000,623.000,0.1885,1.0733,1.2618
80.96,45,0.02548,3.58852,3.614,92.300,531.800,624.100,0.1996,1.0539,1.2535
89.19,50,0.02564,3.26836,3.294,97.900,527.300,625.200,0.2105,1.0348,1.2453
98.06,55,0.02581,2.98219,3.008,103.500,522.800,626.300,0.2214,1.0159,1.2373
107.60,60,0.02597,2.72503,2.751,109.200,518.100,627.300,0.2322,0.9972,1.2294
117.80,65,0.02614,2.49386,2.520,114.800,513.400,628.200,0.2430,0.9786,1.2216
128.80,70,0.02632,2.28568,2.312,120.500,508.600,629.100,0.2537,0.9603,1.2140
140.50,75,0.02650,2.09850,2.125,126.200,503.700,629.900,0.2643,0.9422,1.2065
153.00,80,0.02668,1.92832,1.955,132.000,498.700,630.700,0.2749,0.9242,1.1991
166.40,85,0.02687,1.77413,1.801,137.800,493.600,631.400,0.2854,0.9064,1.1918
180.60,90,0.02707,1.63393,1.661,143.500,488.500,632.000,0.2958,0.8888,1.1846
195.80,95,0.02727,1.50673,1.534,149.400,483.200,632.600,0.3062,0.8713,1.1775
211.90,100,0.02747,1.39153,1.419,155.200,477.800,633.000,0.3166,0.8539,1.1705
228.90,105,0.02769,1.28531,1.313,161.100,472.300,633.400,0.3269,0.8366,1.1635
247.00,110,0.02790,1.18910,1.217,167.000,466.700,633.700,0.3372,0.8194,1.1566
266.20,115,0.02813,1.09987,1.128,173.000,460.900,633.900,0.3474,0.8023,1.1497
286.40,120,0.02836,1.01864,1.047,179.000,455.000,634.000,0.3576,0.7851,1.1427
307.80,125,0.02860,0.94440,0.973,185.100,448.900,634.000,0.3679,0.7679,1.1358
